Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxStdErrRelative,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,StdErr,StdDev,Gen 0,Allocated
'return result',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.3436 ns,0.0099 ns,0.0382 ns,-,0 B
'Value task read result',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,7.9589 ns,0.1040 ns,0.3891 ns,0.0296,64 B
Task.FromResult,Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,13.2926 ns,0.1092 ns,0.4228 ns,0.0678,144 B
'async return result',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,88.7455 ns,0.3748 ns,1.4516 ns,0.0655,144 B
'async value task',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,82.7492 ns,0.4181 ns,1.6194 ns,0.0272,64 B
'return result',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.3249 ns,0.0103 ns,0.0397 ns,-,0 B
'Value task read result',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.5969 ns,0.0971 ns,0.3761 ns,0.0296,64 B
Task.FromResult,Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.5962 ns,0.1353 ns,0.5064 ns,0.0639,136 B
'async return result',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,35.5210 ns,0.2930 ns,1.0563 ns,0.0615,136 B
'async value task',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,40.6530 ns,0.3030 ns,1.1737 ns,0.0272,64 B
