Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxStdErrRelative,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Loops,Mean,StdDev,Gen 0,Allocated
'Ordinary dictionary',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,786.1407 ns,11.9941 ns,0.1464,360 B
'Int ref property dictionary',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,776.3751 ns,13.8373 ns,0.1221,360 B
'Int ref field dictionary',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,777.6840 ns,14.0899 ns,0.1469,360 B
'Ordinary dictionary',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,785.3151 ns,20.0312 ns,0.1453,359 B
'Int ref property dictionary',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,793.5540 ns,20.2862 ns,0.1221,359 B
'Int ref field dictionary',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,794.3258 ns,19.4578 ns,0.1251,359 B
'Ordinary dictionary',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,856.6958 ns,17.5889 ns,0.1849,496 B
'Int ref property dictionary',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,861.9459 ns,20.5115 ns,0.1984,520 B
'Int ref field dictionary',Clr,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,864.9525 ns,17.1386 ns,0.1984,520 B
'Ordinary dictionary',Core,False,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,870.2136 ns,17.7933 ns,0.1900,495 B
